"视频标题","视频BV号","视频AV号","作者","发布时间","评论用户名","评论内容","点赞数","评论时间","评论ID","用户ID"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","umimaaya","直接说是gainax做的动画，我觉得都没毛病","4","2024-10-19 12:02:55","244727490481","15950"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","吃阮饭喝流萤酱","01:13       香蕉尊，归位！☝🤓💡","36","2024-10-18 12:13:43","244648467841","486906191"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","牧月-忍冬","乱破小时候其实很胆小，有一次她蛀牙了去牙科诊所，拔牙的时候非常痛，于是她哭着对医生姐姐说：牙医姐，我不想死[doge]","897","2024-10-18 12:00:43","244647573473","111202477"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","ygyfbhggj","为什么封面变猴了？","7","2024-10-20 20:15:15","245074533856","3493110285863619"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","超级無敌帅帅帅","？？？？","7","2024-10-20 20:06:09","244847218561","281633481"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","九片风扇叶","一开始还以为是哪个高仿，结果是官方[辣眼睛]","7","2024-10-20 18:40:09","245066852320","3461562335496641"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","圣光茫","第一次感觉看崩铁的动画短片用日文比较好","878","2024-10-18 12:04:34","244864780752","26671104"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","Neru音无","过完剧情再看这个动画，高兴不起来了[大哭]好难过啊","12","2024-10-27 19:00:03","245363431281","8121166"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","东风突入大气层","这个画风是……吊带袜天使？","2009","2024-10-18 12:01:46","244864581680","251139"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","朱月之水","辞世诗是模仿猴子的这个吧: 如晨露之坠地，如晨露之消失；人生譬如朝露易逝，终究难留；吾似朝露降人间，来去匆匆瞬即逝；随露珠凋零，随露珠消逝，此即吾身。","286","2024-10-18 13:00:03","244869378576","2409140"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","゙゙゙゙满穗","今天该我啦[饿殍表情包2_害羞]","4","2024-10-20 00:23:25","244784923825","479201675"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","千年之羽_符华","Domo，乱破=san，开拓者desu。 让我见识下你的空手道成果！","1405","2024-10-18 12:46:21","244651114017","19102470"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","萤萂球棒侠","行了，我知道你美术资源溢出了，不整点活就浑身难受是吧，不愧是你，米哈游最颠的星穹铁道项目组[笑哭][笑哭][笑哭][笑哭]","18","2024-10-18 23:37:21","244916755040","1009048426"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","无聊坎法","帅帅帅帅帅帅帅帅帅帅帅帅帅","4","2024-10-18 12:19:37","244648999633","1915432562"
